Bedriftsnavn; Adresse; Postnummer; Poststed; Godkjenningstyper; Organisasjonsnummer; Godkjenningsnummer
SNIPPEN BILSERVICE AS; OVERHALLSVEIEN 5-7; 7803; NAMSOS; BILVERKSTED01, KONTROLLORGAN01; 958330537; 29275
Møller Bilskadesenter Vestfold AS; Broen ; 3170; Sem; BILSKADE; 946967874; 4321
Volvo Truck Center AS avd Lillestrøm; Leiraveien 12; 2000; LILLESTRØM; FARTSSKRIVER, BILVERKSTED03, KONTROLLORGAN03; 910712799; 17060
Rena Bilberging; Hovdmovegen 4; 2450; Rena; BILVERKSTED01B, KONTROLLORGAN01B; 979521294; 2256
CARGLASS AS, avd Mjåvann; Mjåvannveien 18; 4628; KRISTIANSAND S; BILGLASS; 985758220; 28811
Otto Moe AS avd Rørvik; Betzy Bergsgt. 2; 7900; Rørvik; BILVERKSTED01B, KONTROLLORGAN01B; 916125844; 8750
EKEBERG AUTO    AS; Sentrumsveien 116; 3748; SILJAN; BILVERKSTED01, KONTROLLORGAN01; 957113737; 4828
Wist Last & Buss AS; Sødalen Industriområde; 6520; Frei; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04; 958315120; 7856
MAUSEIDVÅG BILVERKSTED AS; Mauseidvågveien 40; 6036; MAUSEIDVÅG; BILVERKSTED01B, KONTROLLORGAN01B, KONTROLLORGAN01, BILVERKSTED01; 916807473; 30070
Norsk Scania AS avd. Gjøvik; Nedre Holmen veg 3; 2827; HUNNDALEN; FARTSSKRIVER, BILVERKSTEDALLE, ALKOLASVERKSTED, KONTROLLORGAN03; 879263662; 2938
BJØRN BERGE BENSINSTASJON AS; SAM EYDES GATE 55; 3660; RJUKAN; HJUL, LYSUTSTYR; 980148831; 29863
Teknisk Bureau Sortland AS; Strandgata 60; 8403; SORTLAND; BILVERKSTED01B, KONTROLLORGAN01B; 935396387; 9340
PETER-PAN AS; INDUSTRIVEGEN 37; 5210; OS; HJUL; 817338852; 31296
GAMLEBYEN BILVASK OG BILPLEIE AS; St. Halvards gate 33; 0192; OSLO; HJUL; 921059051; 31242
TK ØKONOMITRIMMING AS; Sandbakken 6; 2413; ELVERUM; BILVERKSTED01, KONTROLLORGAN01; 913387880; 31247
Bertel O. Steen Buskerud AS; Vestre Linnesvei 11; 3414; LIERSTRANDA; BILVERKSTED01, KONTROLLORGAN01; 948017539; 3788
NAF Senter Åsane; Liamyrane 6 ; 5132; NYBORG; KONTROLLORGAN01; 987372540; 23440
AUTO TYNSET A/S; Risegga; 2500; Tynset; BILVERKSTED01B, KONTROLLORGAN01B; 971587407; 2319
JENSENS BIL-SERVICE; ING. RYBERGSGT. 104; 3027; DRAMMEN; BILVERKSTED01, KONTROLLORGAN01; 982831245; 3634
Nor-In Bruktbil og Sveis; Bjerkåsveien 1; 1391; VOLLEN; KONTROLLORGAN01, BILVERKSTED01; 957552633; 992
Star Autoco AS, avd. Lørenskog; Solheimveien 62; 1473; SKÅRER; BILVERKSTED01, KONTROLLORGAN01; 925905526; 1130
DEKK1 AS avd 110 Sandnes; Gravarsveien 30; 4306; SANDNES; HJUL, HENGERESPALOPSBREMSEANLEGG; 979579292; 29034
KROKEN SERVICESENTER KENT ROBERTSEN; ANTON BORCHS VEG 5; 9022; KROKELVDALEN; HJUL; 884361982; 31195
BILENS EKSOSANLEGG BERGEN AS; NEDBERGEVEIEN 9; 5178; LODDEFJORD; EKSOSANLEGG; 976300165; 29380
Midthus Maskin; Sletta; 2850; LENA; BILVERKSTED01; 994831593; 18561
Tønsberg Kommune ; Kilengata 24; 3117; Tønsberg; BILVERKSTED01B; 921383681; 4391
INDRE ØSTFOLD BILGLASS SERVICE AS; SAGVEIEN 1A; 1814; ASKIM; BILGLASS; 993324558; 29576
LØNSETHAGEN ELEKTRO - DIESEL AS; Skålavegen 3; 6422; Molde; BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG; 979463448; 7613
POLE POSITION AS; RØYKÅSVEIEN 5; 1473; LØRENSKOG; HJUL; 992095830; 29847
Fixbil Knarvik AS; Kvassnesvegen 41; 5914; ISDALSTØ; BILVERKSTED01, KONTROLLORGAN01; 985283796; 6662
GAUPNE BIL & OPPRETTING AS; GAUPNE; 6868; GAUPNE; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 968267299; 7240
ELVERUM AUTO BILSALG AS; Meierigata 3-5; 2406; Elverum; BILVERKSTED01B, KONTROLLORGAN01B; 911421046; 2205
HARSTAD DEKKSENTER AS; STANGNESTERMINALEN 13; 9409; HARSTAD; HJUL; 912068587; 29290
STORD DEKKSERVICE AS; RUNDEHAUGEN 31; 5412; STORD; HJUL, HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR; 950470631; 30607
HANDICARE AS; Fabrikkveien9; 4033; STAVANGER; PABYGGER; 965395830; 30010
KIRKENG BIL AS; Storgata 26; 1890; Rakkestad; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 981886828; 215
M Nordvik AS avd. Mosjøen; Øyfjellgata 12; 8656; MOSJØEN; BILVERKSTED01B, KONTROLLORGAN01B; 960852338; 31346
US Car Clinic AS; Østre Rosten 4C; 7075; TILLER; BILVERKSTED01B, KONTROLLORGAN01B; 881240262; 8099
Møller Bil Molde; Verftsgata 3; 6402; Molde; KONTROLLORGAN01B, BILVERKSTED01B; 915555292; 7604
CARGLASS AS, avd. Hadeland; Sørvangsbakken 23; 2770; JAREN; BILGLASS; 985758220; 30286
Tores Auto Arna AS; STORANESET 24; 5260; INDRE ARNA; BILVERKSTED01, KONTROLLORGAN01; 997744470; 21180
NORDBY BILVERKSTED AS; Haugenveien 27; 1400; SKI; KONTROLLORGAN01, BILVERKSTED01, BILGLASS; 921066767; 31003
VIANOR AS. Avd Bodø; Dreyfushammarn 15; 8012; BODØ; HJUL; 935429447; 29360
BENNYS MOTOR BENNY RENNE SOLBAKK; JOENGET 45; 7170; ÅFJORD; HJUL, HENGERESPALOPSBREMSEANLEGG, EKSOSANLEGG; 984211848; 29746
Fix Bil Landås Bilverksted AS; Kolstien 2; 5097; BERGEN; BILVERKSTED01, KONTROLLORGAN01; 985375186; 6769
Lommedalen Auto AS; Skollerud vn 140; 1350; Lommedalen; BILVERKSTED01, KONTROLLORGAN01; 984668252; 913
BJERLAND LAKK OG KAROSSERI AS; SKARPENGLAND; 4715; ØVREBØ; BILGLASS, LYSUTSTYR; 977193788; 30345
Vrådal Bilsenter; Kviteseidvegen 1883a; 3853; Vrådal; BILVERKSTED01B, KONTROLLORGAN01B; 969966719; 5128
Varhaugs Diesel Elektro AS; Bedriftsveien 24; 4313; SANDNES; BILELEKTRODRIVSTOFFANLEGG, BILDIESEL; 934418867; 5988
MÆLAND AUTOSENTER AS; Røysumvegen 3; 3802; BØ I TELEMARK; HJUL; 950032340; 30149
HARSTAD BIL-GLASS SERVICE AS; VERKSTEDVEGEN 15; 9406; HARSTAD; BILGLASS; 957516335; 28632
Gabriel Østråt AS; Bedriftsvn 11 ; 4313; SANDNES; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 937817983; 5918
Asker Bilservice AS; Askerveien 61; 1384; Asker; BILVERKSTED01, KONTROLLORGAN01; 985058113; 936
Snap Drive Åssiden; Ingeniør Rybergsgate 44; 3024; DRAMMEN; BILVERKSTED01, KONTROLLORGAN01; 971585188; 3772
TOYOTA BILIA AS, AVD STJØRDAL; Tuftenvegen 2; 7502; STJØRDAL; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 980648915; 29386
SAND SERVICESENTER AS; Verven 5; 4230; SAND; BILVERKSTED01B, KONTROLLORGAN01B; 994830503; 29308
Norsk Scania AS avd. Bardufoss; Andslimoen; 9325; Bardufoss; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN03; 879263662; 9828
DEKKCENTERET AS; LERSTADVEGEN 302; 6014; ÅLESUND; HJUL; 928336042; 30238
Slatlem Molde AS; Hendenvegen 5; 6423; MOLDE; BILVERKSTED01, KONTROLLORGAN01; 917339791; 7617
MVERKSTED AS; NAMSOSVEGEN 1036; 7730; BEITSTAD; KONTROLLORGAN01, BILVERKSTED01B; 917372012; 30004
Volvo Truck Center avd Fagerstrand; Torneveien 10; 1454; FAGERSTRAND; BILVERKSTED03, ALKOLASVERKSTED; 910712799; 29956
Madland Bilverksted AS; Finnestadgeilen 20; 4029; Stavanger; BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, BILBREMSE, KONTROLLORGAN01B, KONTROLLORGAN02, KONTROLLORGAN03, FARTSSKRIVER, TRAKTOR; 935439868; 6091
Egenes Brannteknikk AS; Nulandsvika 3; 4400; FLEKKEFJORD; PABYGGER; 966861320; 14958
Mjøsbil AS avd. Vågå; INDUSTRIVEGEN 40; 2680; VÅGÅ; KONTROLLORGAN01, BILVERKSTED01; 950223243; 29672
MOTOR FORUM Hamar AS; Vangsvegen 91; 2317; HAMAR; BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B; 911907232; 2058
Best Bilsenteret AS; Hotvetalleen 3; 3018; DRAMMEN; KONTROLLORGAN01, BILVERKSTED01, BILSKADE; 916594658; 30476
Bilhuset Førde AS; Øyrane 6; 6803; FØRDE; BILVERKSTED01B, KONTROLLORGAN01B; 994271725; 7085
MC GARASJEN AS; TJELDBERGET 2; 8012; BODØ; MOTORSYKKELOGMOPED; 819935602; 30723
Ford Harstad AS; Storåkeren 15   ; 9411; Harstad; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 966550570; 9441
Mosfjell Bil AS; Mosfjell; 4760; BIRKELAND; BILVERKSTED01, KONTROLLORGAN01; 984076703; 15818
KOPPANG AUTO A/S ; Kjemsjøveien 22; 2480; Koppang; BILVERKSTED01, KONTROLLORGAN01; 932412063; 2324
TIDE VERKSTED AS avd. Haugesund; Leirangergata 31; 5522; HAUGESUND; FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04; 918152954; 30200
City Bil a/s; Malergata 1; 3117; Tønsberg; BILVERKSTED01B, KONTROLLORGAN01B; 946057606; 4304
Steigen Vekst AS; Furulund; 8283; LEINESFJORD; BILVERKSTED01B; 876516012; 23480
CRUX Tilja oppfølgingssenter ; Bølevegen 2; 3724; SKIEN; MOTORSYKKELOGMOPED, BILVERKSTED01; 975387011; 31156
RSA BIL Kristiansand; Barstølveien 30, Pb 9235 Sørlandsparken; 4697; KRISTIANSAND S; BILVERKSTED01B, KONTROLLORGAN01B; 915518389; 11132
OPPLÆRINGSKONTORET FOR BILFAG AS; BJØRNDALEN 3; 7028; TRONDHEIM; BILVERKSTED01B; 945302577; 29941
BOBIL TRONDHEIM AS; INDUSTRIVEIEN 39A; 7080; HEIMDAL; BILVERKSTED01B, KONTROLLORGAN01B; 917921024; 30553
Speed Motorcenter AS; Skolmar 30; 3232; SANDEFJORD; MOTORSYKKELOGMOPED; 928949214; 4731
Hoel Mekaniske Verksted; Hevle; 7340; OPPDAL; TRAKTOR; 996482324; 22079
Herefoss Bruk AS; Stasjonsbyen 53; 4766; Herefoss; BILVERKSTEDALLE, KONTROLLORGAN01B, TRAKTOR; 852596562; 5335
Ringerike Trailerservice AS; Nordmoen; 3534; SOKNA; PABYGGER; 986760881; 3385
Bergan Maskinsalg AS; Åshaugveien 94; 3170; SEM; TRAKTOR; 969012758; 19024
Snap Drive AS avd. Hvam; Jogstadveien 27; 2007; KJELLER; BILVERKSTED01, KONTROLLORGAN01; 971585188; 18439
Rogaland Bilverksted AS; Midtbergveien 2; 4313; Stavanger; BILVERKSTED01, KONTROLLORGAN01; 985621330; 6167
Alta Autosenter AS; Altaveien 73; 9513; ALTA; BILVERKSTED01, KONTROLLORGAN01; 877179532; 9616
SIGDAL BIL & LANDBRUK V/ PER KRISTIAN KRISTIANSEN; Vestre Grønseth; 3355; SOLUMSMOEN; BILSKADE, BILVERKSTED01; 897928302; 29889
DEKKMANN AS AVD BÆRUM 5250; Olav Ingstads vei 1; 1351; RUD; HJUL; 974292831; 30134
SENSO AUTO A/S; Åheim; 6146; Åheim; BILVERKSTED01, KONTROLLORGAN01, HJUL; 980348768; 7552
Møgedal Mekaniske verkstad AS; Sandsvegen 261 ; 4230; SAND; TRAKTOR; 987558261; 18980
Madla Bil AS; Revheimsvn 74; 4043; Hafrsfjord; BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 987768088; 6159
Toyota Flekkefjord AS; Trøngsla 3; 4400; Flekkefjord; BILVERKSTED01, KONTROLLORGAN01; 979779755; 5829
Eiksenteret Hønefoss; Barbroveien 7; 3511; HØNEFOSS; MOTORSYKKELOGMOPED, TRAKTOR; 936372023; 20463
TEVO DEKK AS AVD STJØRDAL; Havnegata 41; 7502; STJØRDAL; HJUL; 995179989; 29424
Vestfossen Bil Og Karosseri; Bruksgata 21 ; 3320; VESTFOSSEN; BILVERKSTED01B, BILSKADE; 977241189; 3785
Kvan Consult; Holtungveien 70; 3080; HOLMESTRAND; BILSKADE; 982397499; 4196
Heistad Bil & Caravan A/S; Heistaddalen 37; 3940; Porsgrunn; BILVERKSTED01B, KONTROLLORGAN01B; 984204507; 4911
Bilcentrum AS; Leangen alle 6; 7044; TRONDHEIM; BILVERKSTED01B, KONTROLLORGAN01B; 836883772; 8052
MOSS DEKK AS; RABEKKGATA 3; 1523; MOSS; HJUL; 921836686; 31080
GREÅKER GLASS OG RAMMEFORRETNING AS; GREÅKERVEIEN 138; 1718; GREÅKER; BILGLASS; 985813582; 29686
Benz Technic AS; Tillerbruveien 157; 7092; TILLER; BILSKADE; 923105417; 11475
CARGLASS AS avd. Sandvika; Elias Smiths vei 10; 1337; SANDVIKA; BILGLASS; 985758220; 29074
GRAN DEKK OG SERVICESENTER AS; HOVSGUTUA 1; 2750; GRAN; HJUL; 916478143; 31493
Felleskjøpet Agri SA avd. Tynset; Tomtegata 4; 2500; TYNSET; TRAKTOR; 911608103; 18939
DEKKMANN AS avd Setermoen; Industriveien 5  ; 9360; BARDU; HJUL, HJULUTRUSTNING; 966242825; 29269
RIIS MONTASJE AS; Vestsivegen 67; 2411; ELVERUM; BILGLASS; 921979436; 30941
OVERAAE AS; Østre Rosten 6A; 7075; TILLER; HJUL, HJULUTRUSTNING; 935872634; 29349
S R BILRADIO AHMAD WAQAR; RYENSVINGEN 11B; 0680; OSLO; HJUL; 942199090; 31219
GRIDSVÅG BÅT MOTOR AS; GRIDSVÅGVEGEN 119; 6698; LESUND; HJUL, BILGLASS, LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG, PABYGGER; 984413793; 30394
CARGLASS AS AVD FREDRIKSTAD SENTRUM; Apenes gate 16; 1607; FREDRIKSTAD; BILGLASS; 992940581; 31184
Nor-Slep AS; Borgeskogen 48; 3160; STOKKE; PABYGGER; 933730050; 4704
HETLE AUTO ANR AS; REED; 6827; BREIM; BILVERKSTED01, KONTROLLORGAN01B; 916569505; 29824
Vianor AS, avd. Vinje; Verkstadvegen 1; 3890; Ytre Vinje; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04; 935429447; 5219
DEKK OG DELER AS avd. Stord; Lyngneset 1; 5410; SAGVÅG; HJUL; 996430022; 31019
VIANOR AS; Kjørbekkdalen 7; 3735; SKIEN; HJUL; 935429447; 30736
Johanssons Auto AS; Gigstads vei 10; 3511; HØNEFOSS; BILVERKSTED01, KONTROLLORGAN01; 997091973; 3428
Last Haugesund AS; Ekrene Næringspark 15; 5550; SVEIO; FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04; 991393587; 10711
PRO AUTO SERVICE AS; BIRKEBEINERVEIEN 5; 3517; HØNEFOSS; KONTROLLORGAN01, BILVERKSTED01; 923661875; 31405
DEKKTEAM AS avd. Skarnes; Slomarka 22; 2100; SKARNES; HJUL; 870897332; 29879
DEKK-SKIFT SOMMERFELDT AS; HILLEVÅGSVEIEN 102; 4016; STAVANGER; HJUL; 912686760; 29831
Møller Bil Sør-Rogaland As avd Møller Bil Stavanger; Vassbotnen 17                         ; 4067; STAVANGER; BILVERKSTED01B, KONTROLLORGAN01B; 933625583; 5908
A-K Maskiner AS, avd Stjørdal; Industrivegen 2; 7502; STJØRDAL; TRAKTOR; 946468037; 18440
SULLAND MOSS FORD; Varnaveien 30; 1526; MOSS; BILVERKSTED01B, KONTROLLORGAN01B, BILSKADE; 911352400; 30703
DRAMMEN KAROSSERI AS; Kobbervikdalen 75; 3044; DRAMMEN; BILSKADE; 958540655; 3682
Lunde Lastebilverksted AS; Hovedgata 19; 3825; LUNDE; BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, PABYGGER, KONTROLLORGAN04; 984673639; 4870
Autoskade Tynset AS; Bangmoen; 2500; TYNSET; BILVERKSTED01, BILSKADE; 999257305; 26721
BROMTECH TOM EDDIE JACOBSEN; DRASUNDVEIEN 2A; 3189; HORTEN; BILVERKSTED01; 917693749; 30087
Solberg Bil Notodden A/S; Merdevegen 6; 3676; NOTODDEN; BILVERKSTED01B, KONTROLLORGAN01B; 979503156; 5123
Bil Rep AS; Holmejordetveien. 40; 3267; LARVIK; BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B; 988083186; 4649
TORVIK VERKSTED AS; STRØMSVEIEN 223; 0668; OSLO; HJUL; 916841817; 30053
TK  Motor  Alta  AS; Storengveien 21; 9515; ALTA; BILVERKSTED01, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01; 968457675; 9624
Nordvik AS avd. Sortland; Vesterålsgata 26; 8400; SORTLAND; BILVERKSTED01, KONTROLLORGAN01, BILSKADE; 946549770; 9382
GRANDAHL VERKSTED AS; LILLETUNEVEIEN 6B; 1711; SARPSBORG; BILVERKSTED01, KONTROLLORGAN01; 919656999; 30569
TJELMANE DEKKSERVICE AS; GÅSAVIKJA 1; 4230; SAND; HJUL; 979692870; 29445
Rolf Wee Transport AS avd. Påbygg ; Frakkagjerdvegen 127; 5563; Frakkagjerd; PABYGGER; 970998136; 6375
Bilia Furubakken AS; Ramstadsletta 15; 1363; Høvik; BILVERKSTED01, KONTROLLORGAN01; 976023188; 947
SVENDSEN EKSOS SKIEN AS; BEDRIFTSVEGEN 42; 3735; SKIEN; EKSOSANLEGG, HJUL; 980416534; 30819
TILHENGERSPESIALISTEN AS; HEIANE 6; 5131; NYBORG; HENGERESPALOPSBREMSEANLEGG; 957643876; 31085
BIRGER N HAUG AS avdeling Røyken; Johan Follestads vei 15; 3474; ÅROS; BILVERKSTED01, KONTROLLORGAN01; 952335863; 29792
Lena Maskin AS avd. Dokka; Storgata 113; 2870; DOKKA; TRAKTOR; 941263003; 19679
STRANDA BILSERVICE JONNY HAMMER; Dalevegen 7; 6200; STRANDA; HJUL, EKSOSANLEGG; 957711707; 29262
AUTOCON ARNE GEORG HOLTH; RUDVEIEN; 3540; NESBYEN; HJUL; 991139842; 29806
Kverneland Bil Jæren AS; Eskervegen 7; 4340; BRYNE; BILVERKSTED01, KONTROLLORGAN01; 977047684; 24064
BALLANGEN BIL OG BÅT AS; STOR-BALLANGEN; 8540; BALLANGEN; BILVERKSTED01, KONTROLLORGAN01; 915738842; 29400
Svarstad Bil A/S; Lågaveien 1; 3275; SVARSTAD; BILVERKSTED01, KONTROLLORGAN01; 997770544; 21040
Norsk Scania A/S, avd. Haugesund; Frakkagjerdveien 99; 5563; FØRRESFJORDEN; FARTSSKRIVER, BILVERKSTED02, BILVERKSTED03, PABYGGER, KONTROLLORGAN03, ALKOLASVERKSTED; 879263662; 6367
ROBSTAD KAROSSERI AS; Birkelandsveien 1275; 4760; BIRKELAND; BILSKADE; 997091612; 30822
DEKK1 AS avd Vare & Last Oslo; Strømsveien 320; 1081; OSLO; HJUL, HENGERESPALOPSBREMSEANLEGG; 979579292; 30058
GB Auto AS; Kammerfossveien 10; 3770; KRAGERØ; BILVERKSTED01, KONTROLLORGAN01; 995900440; 17080
Palfinger Norge AS, avd. Vestfold; Borgeskogen Industriområde; 3160; STOKKE; PABYGGER; 980861562; 4394
OLJESKIFTEXPRESSEN; KIRKEVEIEN 172; 0455; OSLO; BILVERKSTED01, HJUL; 970959599; 31305
DM AutoMek AS; Tørdalsvn 25; 3750; DRANGEDAL; BILVERKSTED01, BILSKADE, KONTROLLORGAN01; 974496143; 4866
Optituning Heavyduty AS; NORDGRANDVEIEN 58; 7130; BREKSTAD; HJUL; 921394357; 30994
Bilmakern  AS; Lierstranda 128 A; 3400; DRAMMEN; BILVERKSTED01; 961650429; 3712
CARGLASS AS; Nedre Rommen 1; 0988; OSLO; BILGLASS; 985758220; 28834
AUTOMEK A/S ; Øyna 54; 6200; STRANDA; BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED; 879583772; 7374
RK AUTO AS; FYRSTIKKBAKKEN 7; 0667; OSLO; BILSKADE; 920537170; 30792
DOOD'S DEKKSERVICE AS; INDUSTRIGATA 31; 4480; KVINESDAL; HJUL; 914253152; 30304
BDPS BIL & DIESELPUMPESERVICE A/S; Kokstadflaten 32; 5257; BERGEN; BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, BILBREMSE, KONTROLLORGAN01B; 981954831; 6559
Ravik Bil AS; SYKEHUSVEGEN 1; 2100; SKARNES; BILVERKSTED01B, KONTROLLORGAN01B; 912828824; 29794
DIGRE TRANSPORT AS; Singsås Næringspark AS; 7387; SINGSÅS; PABYGGER, BILGLASS; 968975994; 30512
AB Motor AS; Strandveien 2A; 7224; MELHUS; MOTORSYKKELOGMOPED; 989826328; 8015
ØDEGÅRDEN AUTO AS avd. Trollåsen; Trollåsveien 8; 1414; TROLLÅSEN; BILVERKSTED01, KONTROLLORGAN01; 979466811; 29917
CARGLASS AS; Pindsleveien 8 - Sandefjord; 3221; SANDEFJORD; BILGLASS; 985758220; 30556
J. JOHANNESSEN BIL & KAROSS.;  Prestfoss; 3350; PRESTFOSS; BILVERKSTED01, KONTROLLORGAN01; 932197057; 3401
Snap Drive  AS avd. Ryen; Ryensvingen 2-4; 0680; OSLO; BILVERKSTED01, KONTROLLORGAN01; 971585188; 1561
Gravdal Bil AS; Haugsmyra 81; 8372; GRAVDAL; BILVERKSTED01, KONTROLLORGAN01; 992517433; 20759
Nye Car Craft AS; Østre Rosten 4A; 7075; TILLER; BILVERKSTED01B, KONTROLLORGAN01B; 913022726; 25821
SYLLING BILGLASS ØDEGÅRD; Modumveien 27; 3410; SYLLING; BILGLASS, HENGERESPALOPSBREMSEANLEGG, HJUL, EKSOSANLEGG, LYSUTSTYR; 996222179; 29315
LANDE AUTO A/S; Tuneveien 1; 1710; SARPSBORG; BILVERKSTED01, KONTROLLORGAN01; 833734962; 104
Skjellerud Verksted ANS; Sagvollveien 467; 2830; Raufoss; BILVERKSTED01B, KONTROLLORGAN01; 983190766; 2945
AUTOSERVICE FORNEBU AS; SNARØYVEIEN 73; 1364; FORNEBU; BILVERKSTED01B, KONTROLLORGAN01B; 813185482; 30738
BB DEKKSPESIALISTEN NARVIK AS; ANKENESVEIEN 3; 8520; ANKENES; HJUL; 998672384; 29764
ERNSTSEN MC & SNØSCOTER AS; Lagerveien 7; 8250; Rognan; BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 911711311; 9127
Westrum Karosseri  AS; Gjerluvegen 84; 2320; FURNES; BILSKADE; 995500892; 2045
Din-Bil AS; Kornsiloveien 84; 2316; HAMAR; BILVERKSTED01B, KONTROLLORGAN01B; 984944705; 17639
Autoservice Evje AS; Verksvegen 5; 4735; Evje; BILVERKSTED01B, BILSKADE, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B; 990725888; 5312
HØIDEN BIL OG BÅTELEKTRO AS; ØREVEIEN 68; 1528; MOSS; KONTROLLORGAN01, BILVERKSTED01; 967346691; 30670
HJULIUS SKIEN AS; SKOTFOSSVEGEN 35; 3720; SKIEN; HJUL; 991154302; 31162
H.B.K. Verdal A/S; Kometvegen 4; 7652; VERDAL; BILBREMSE, PABYGGER; 984596413; 8589
RYDS BILGLASS AS; Bratsbergveien 11-13; 7037; TRONDHEIM; BILGLASS; 913387783; 29485
RYDS BILGLASS AS avd 101 Ensjø; Ensjøveien 9; 0655; OSLO; BILGLASS; 913387783; 29501
MOFLATEN  SMIE OG  VERKSTED  AS ; Bataljonsveien  27; 3734; SKIEN; MOTORSYKKELOGMOPED, PABYGGER; 914365074; 4892
Tune Bil AS; Lilletuneveien 4; 1711; SARPSBORG; BILVERKSTED01, KONTROLLORGAN01; 968470116; 1505
Ital Bilservice AS; Fyrstikkbakken 2; 0667; OSLO; BILVERKSTED01, KONTROLLORGAN01; 988217220; 1570
SANDVEN BRITISH CARS BERGEN AS; Kokstadvegen 15; 5257; KOKSTAD; BILVERKSTED01, KONTROLLORGAN01; 815310772; 30297
Vestnes Bilverksted AS; Buktavegen 15; 6390; VESTNES; KONTROLLORGAN01B, BILVERKSTED01B; 999668623; 23588
Larvik Last og Buss AS; Elveveien 126; 3271; LARVIK; FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04; 892174512; 14479
Kongsvinger Bilsenter AS; Lerkeveien 53; 2209; KONGSVINGER; BILVERKSTED01B, KONTROLLORGAN01B; 913112083; 26165
STRANDVEIEN AUTO VERDAL AS; E6 Vinne 14; 7657; VERDAL; BILVERKSTED01, KONTROLLORGAN01; 935358035; 8564
Gromstad Bil & Båt AS; Gamle Kragerøvei 24; 3770; KRAGERØ; BILVERKSTED01, KONTROLLORGAN01, BILSKADE; 983335470; 28031
DEKKPROFF AS; Trondheimsveien 36; 2013; SKJETTEN; HJUL; 916725558; 31489
NORSK RIKSKRINGKASTING AS; Bjørnstjerne Bjørnsonsplass 1; 0340; OSLO; BILVERKSTED01B; 976390512; 1493
J. E. Røsstad Bilverksted; MAGNUS BARFOTSVEI 7; 4633; KR.SAND; BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 970440690; 5736
Bulder Verksted AS avd. Rådal; Skeievegen 76; 5239; RÅDAL; BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04; 993026352; 27081
Nordbygdan Bil og Landbruk; Votndalen 457; 3570; ÅL; BILVERKSTED01, KONTROLLORGAN01; 989643878; 19919
Eggedal Servicenter AS; Nedre Eggedal; 3358; NEDRE EGGEDAL; BILVERKSTED01B, KONTROLLORGAN01B; 979705514; 13232
EGGEDAL AUTO ANS; Gamleveien 40; 3359; EGGEDAL; BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01; 958309996; 3303
Dyretransport Service AS; Sørbygda; 7288; SOKNEDAL; PABYGGER; 981017048; 16438
N.TIMENES & SØN A/S; SAGMYRA 10; 4622; KR.SAND; HJUL; 945292075; 5700
SKOLMAR BIL AS; Skolmar 17; 3232; SANDEFJORD; BILVERKSTED01, KONTROLLORGAN01; 994191071; 14638
Eides Bensinstasjon; Klostervegen 136; 5455; Halsenøy Kloster; BILVERKSTED01; 947063960; 6766
Bil i Nord AS avd. Svolvær; Vorsetøyveien 25; 8300; SVOLVÆR; BILVERKSTED01B, KONTROLLORGAN01; 983666280; 13576
BILDEKK AS; FJORDAVEIEN 32; 9610; RYPEFJORD; HJULUTRUSTNING, HJUL; 927763931; 30625
FANA DEKKSENTER AS; FANAVEGEN 15; 5221; NESTTUN; HJUL; 997726669; 29354
SNAP DRIVE AS, avd. Byåsen; Selsbakkvegen 36A; 7027; TRONDHEIM; KONTROLLORGAN01, BILVERKSTED01; 971585188; 30923
